epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,730.921,0.71224,1.32319,1.27511,0.73376,0.6817,0.76601,0.46642,1.26447,1.65897,1.63627,0.000663492,0.000663492,0.000663492
2,1264.36,0.68191,0.91151,1.24192,0.77192,0.79045,0.83071,0.61964,0.99388,1.30065,1.35512,0.00106679,0.00106679,0.00106679
3,1994.51,0.65989,0.78865,1.22174,0.82191,0.73453,0.84495,0.64198,0.92558,1.10967,1.3434,0.00120608,0.00120608,0.00120608
4,2418.1,0.60497,0.68074,1.17479,0.88519,0.85894,0.93383,0.70863,0.88335,0.76953,1.26419,0.000812,0.000812,0.000812
5,2943.01,0.53675,0.58013,1.12964,0.91862,0.89829,0.95726,0.79373,0.6696,0.5966,1.05787,0.000416,0.000416,0.000416
