epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1914.35,0.71024,1.43187,1.28297,0.8024,0.81862,0.86727,0.58669,1.0643,1.67396,1.41643,0.000553021,0.000553021,0.000553021
2,3979.62,0.68629,0.93477,1.24987,0.68483,0.68435,0.69652,0.44219,1.17655,1.71566,1.63826,0.00108674,0.00108674,0.00108674
3,6064.74,0.69303,0.84619,1.24912,0.82157,0.6366,0.767,0.54801,1.13658,1.18178,1.48379,0.00159845,0.00159845,0.00159845
4,7935.1,0.68169,0.77182,1.23125,0.85808,0.7878,0.875,0.63395,1.05667,0.85253,1.44748,0.00156798,0.00156798,0.00156798
5,9872.33,0.62999,0.7144,1.19687,0.82771,0.8538,0.90593,0.6917,0.91337,0.79047,1.26456,0.00153497,0.00153497,0.00153497
